"Date","Total","Remaining","Completed","Ideal","Issues Completed"
"2020-02-19","161","161","0","0.00",""
"2020-02-20","161","156","5","13.42","57"
"2020-02-21","161","156","5","26.83",""
"2020-02-22","161","156","5","26.83",""
"2020-02-23","161","156","5","26.83",""
"2020-02-24","161","156","5","40.25",""
"2020-02-25","161","156","5","53.67",""
"2020-02-26","161","136","25","67.08","79"
"2020-02-27","161","136","25","80.50",""
"2020-02-28","161","136","25","93.92",""
"2020-02-29","161","136","25","93.92",""
"2020-03-01","161","136","25","93.92",""
"2020-03-02","161","136","25","107.33",""
"2020-03-03","161","113","48","120.75","58,64"
"2020-03-04","161","113","48","134.17",""
"2020-03-05","161","62","99","147.58","62,110"
"2020-03-06","161","","","161.00","59,60,61,63,65,80,145"
