"Date","Total","Remaining","Completed","Ideal","Issues Completed"
"2020-03-25","525","525","0","0.00",""
"2020-03-26","525","525","0","40.38",""
"2020-03-27","525","525","0","80.77",""
"2020-03-28","525","525","0","80.77",""
"2020-03-29","525","525","0","80.77",""
"2020-03-30","525","500","25","121.15","177"
"2020-03-31","525","500","25","161.54",""
"2020-04-01","525","500","25","201.92",""
"2020-04-02","525","485","40","242.31","202"
"2020-04-03","525","445","80","282.69","181,208,209,211"
"2020-04-04","525","425","100","282.69","214,215,216,217"
"2020-04-05","525","415","110","282.69","218,219"
"2020-04-06","525","380","145","323.08","180,220,221,222"
"2020-04-07","525","380","145","363.46",""
"2020-04-08","525","355","170","403.85","223"
"2020-04-09","525","355","170","444.23",""
"2020-04-10","525","355","170","484.62",""
"2020-04-11","525","200","325","484.62","178,179,182"
"2020-04-12","525","200","325","484.62",""
"2020-04-13","525","","","525.00","176,183,186,187"
